Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,LD-BZEN-1205,1,LD-BZEN-1205,
C1,C_Disc_D3.0mm_W1.6mm_P2.50mm,1,100n,
C2,CP_Radial_D10.0mm_P5.00mm,1,470u / 50V,
D1,D_DO-41_SOD81_P10.16mm_Horizontal,1,SR150-DC,
D2,LED_D5.0mm,1,RED,
D3,LED_D5.0mm,1,YELLOW,
D4,LED_D5.0mm,1,GREEN,
D5,LED_D5.0mm,1,WHITE,
J1,DCJ250-10-A-K1-K,1,Barrel Jack,
J2,PinHeader_1x05_P2.54mm_Horizontal,1,Conn_01x05_Pin,
J3,PinSocket_1x05_P2.54mm_Vertical,1,Conn_01x05_Socket,
"J4, J5",PinHeader_1x03_P2.54mm_Vertical,2,Conn_01x03_Pin,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,1k5,
R10,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,4k7,
"R11, R15",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,2k2,
"R12, R13, R14",R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,3,2k2,
R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,1k3,
R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,620,
R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,1k1,
"R5, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,1k,
R6,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,910,
R7,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,390,
R8,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,6k2,
RV1,RK09K1130AH1,1,10k,
"SW1, SW2, SW3, SW4, SW5, SW6, SW7, SW8",SW_PUSH_6mm_H4.3mm,8,SW_Push,
SW10,OS102011MS2QN1,1,POWER,
SW11,OS102011MS2QN1,1,C/D,
U1,DIP-8_W7.62mm-socket,1,NE555P,
