Designator,Mid X,Mid Y,Rotation,Layer
BZ1,75.2,-139.99,90.0,top
C1,92.0,-148.19,180.0,top
C2,117.8,-133.1,90.0,top
D1,104.2,-85.35,90.0,top
D2,114.2,-85.08,270.0,top
D3,131.8,-131.795,270.0,top
D4,131.8,-138.595,270.0,top
J1,77.45,-87.35,180.0,top
J2,58.785,-115.09,180.0,top
J3,69.54,-109.985,90.0,top
J4,69.54,-120.17,90.0,top
J5,69.54,-115.09,90.0,top
R1,56.0,-158.0,270.0,top
R10,124.2,-85.35,270.0,top
R11,117.8,-143.8,0.0,top
R12,83.13,-109.985,0.0,top
R13,83.13,-115.09,0.0,top
R14,83.13,-120.17,0.0,top
R2,68.571429,-158.0,270.0,top
R3,81.142857,-158.0,270.0,top
R4,93.714286,-158.0,270.0,top
R5,106.285714,-158.0,270.0,top
R6,118.857143,-158.0,270.0,top
R7,131.428571,-158.0,270.0,top
R8,144.0,-158.0,270.0,top
R9,103.8,-139.99,90.0,top
SW1,56.0,-169.5,0.0,top
SW10,94.2,-84.95,90.0,top
SW11,143.8,-135.3,270.0,top
SW2,68.571429,-169.5,0.0,top
SW3,81.142857,-169.5,0.0,top
SW4,93.714286,-169.5,0.0,top
SW5,106.285714,-169.5,0.0,top
SW6,118.857143,-169.5,0.0,top
SW7,131.428571,-169.5,0.0,top
SW8,144.0,-169.5,0.0,top
U1,91.81,-139.99,0.0,top
